name,duration
60,15th\HTK\Playing Alone.MP4,10.112880555555556
18,13th\AJH\13th_AJH_Playtime.mp4,10.121777332888445
22,13th\KWJ\13th_KWJ_Following Instructions.mp4,10.128450672895118
16,13th\AJH\13th_AJH_Following Instructions.mp4,10.130119007896786
5,11th\LJU\11th_LJU_Playtime.mp4,10.133455677900123
70,17th\YCM\Home_Playing Alone.MP4,10.142910555555556
0,11th\CKR\11th_CKR_Following Instructions.mp4,10.145134022911801
114,20th\SYJ\Home_Playing Alone.MP4,10.175442962962963
149,22th\CHT\Home_Playing Alone.MP4,10.175999166666665
3,11th\LJU\11th_LJU_Following Instructions.mp4,10.176276276276276
135,21th\KSJ\Hospital_Playing Alone.MP4,10.177389444444445
163,23th\CEJ\Home_Playing Alone.MP4,10.184062777777777
102,19th\KMH\Hospital_Playtime_Casual Interaction.MP4,10.197409444444444
1,11th\CKR\11th_CKR_Playing Alone.mp4,10.203525747970192
81,18th\SHE\Home_Following Instructions.MP4,10.227161296296297
54,14th\YSJ\Home_Playtime_Casual Interaction.avi,10.234897649999999
170,23th\HSY\Home_Playing Alone.MP4,10.24023
142,21th\LJH\Home_Playing Alone.MP4,10.255522962962964
184,24th\JSM\Home_Playing Alone.MP4,10.257469444444444
156,22th\LSY\Home_Playing Alone.MP4,10.258025555555555
202,5th\LJ\Hospital_Following Instructions.MP4,10.266923333333333
121,21th\HKJ\Home_Playing Alone.MP4,10.274708888888888
83,18th\SHE\Home_Playtime_Casual Interaction.mpg,10.339217777777778
8,12th\LDK\12th_LDK_Playtime.mp4,10.340885329774219
69,17th\YCM\Home_Following Instructions.MP4,10.367301296296295
191,24th\UJW\Home_Playing Alone.mpg,10.412068333333334
71,17th\YCM\Home_Playtime_Casual Interaction.MP4,10.416517222222222
53,14th\YSJ\Home_Playing Alone.AVI,10.50600605
203,5th\LJ\Hospital_Playing Alone.MP4,10.512168333333333
99,19th\KDH\Home_Playtime_Casual Interaction.MP4,10.525793055555557
100,19th\KMH\Hospital_Following Instructions .MP4,10.542754444444446
39,14th\KSE\Home_Following Instructions_Freely.avi,10.563227699999999
177,23th\JBH\Hospital_Playing Alone.MP4,10.568335555555556
24,13th\KWJ\13th_KWJ_Playtime.mp4,10.660093426760092
213,6th\SSH\6th_SSH_Playing Alone.mp4,10.685674563452341
41,14th\KSE\Home_Playtime_Casual Interaction.AVI,10.7710034
72,18th\KYH\Following Instructions.MP4,10.883650555555556
206,5th\LJH\5th_LJH_Playtime.mp4,10.889761984206428
212,6th\SSH\6th_SSH_Following Instructions.mp4,10.984862640418196
101,19th\KMH\Hospital_Playing Alone.MP4,11.051874166666666
49,14th\NSW\Playing Alone.MP4,11.10498277777778
52,14th\YSJ\Home_Following Instructions_Freely.AVI,11.178221549999998
214,6th\SSH\6th_SSH_Playtime.mp4,11.292942942942943
82,18th\SHE\Home_Playing Alone.MP4,11.788721296296297
65,15th\KEJ\15th_KEJ_Playtime.mp4,12.006434211989767
92,19th\HHS\Home_Playtime_Casual Interaction.MP4,13.500153333333333
